N° Siren,Nom de la compagnie,Secteur,Région,Période depuis la création (année),Nombre d'établissements,Nbre d'employés min,Nbre d'employés Max,Titre du poste,Emplacement du travail,Type de travail,Niveau requis,Nombre d'offres
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Engineer ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,4
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Engineer ,"Marcq-en-Baroeul, Hauts-de-France",CDI ,Premier emploi,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Analyst ,"Aix-en-Provence, Provence-Alpes-Côte d’Azur",CDI ,Premier emploi,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Analyst ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,4
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Scientist ,"Levallois-Perret, Île-de-France",CDI ,Confirmé,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Scientist ,"Marcq-en-Baroeul, Hauts-de-France",CDI ,Premier emploi,1
403259534,Umanis,Activité du conseil en systèmes et logiciels informatiques,LEVALLOIS-PERRET,25,30,2000,4999,Data Scientist ,"Levallois-Perret, Île-de-France",CDI ,Premier emploi,1
815357769,ACTIVUS Group,Activité du conseil en systèmes et logiciels informatiques,TOULOUSE ,5,8,50,99,Data Analyst ,"Niort, Nouvelle-Aquitaine",CDI ,Premier emploi,2
815357769,ACTIVUS Group,Activité du conseil en systèmes et logiciels informatiques,TOULOUSE ,5,8,50,99,Data Analyst ,"Toulouse, Occitanie",CDI ,Confirmé,2
815357769,ACTIVUS Group,Activité du conseil en systèmes et logiciels informatiques,TOULOUSE ,5,8,50,99,Data Scientist ,"Toulouse, Occitanie",CDI ,Premier emploi,1
562024422,CMA CGM,Activité des transports maritimes et côtiers de fret,MARSEILLE,85,33,2000,4999,Data Analyst ,"Marseille, Provence-Alpes-Côte d’Azur",Stage,Premier emploi,2
562024422,CMA CGM,Activité des transports maritimes et côtiers de fret,MARSEILLE,85,33,2000,4999,Data Scientist ,"Marseille, Provence-Alpes-Côte d’Azur",CDI ,Manager,1
562024422,CMA CGM,Activité des transports maritimes et côtiers de fret,MARSEILLE,85,33,2000,4999,Data Engineer ,"Marseille, Provence-Alpes-Côte d’Azur",CDI ,Manager,1
750538613,CodinGame,Activité de la programmation informatique,MONTPELLIER,9,2,20,49,Data Analyst ,À distance,CDI ,Premier emploi,1
410002075,VINCI Airports,Activités des sièges sociaux,NANTERRE,25,6,100,199,Data Analyst ,"Colombier, Auvergne-Rhône-Alpes",Stage,Premier emploi,1
750538613,CodinGame,Activité de la programmation informatique,MONTPELLIER,9,2,20,49,Data Analyst ,À distance,CDI ,Confirmé,2
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Engineer ,"Paris, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Paris, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Puteaux, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Courbevoie, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Puteaux, Île-de-France",CDD,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Lacq, Nouvelle-Aquitaine",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Pau, Nouvelle-Aquitaine",CDI ,Confirmé,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Analyst ,"Le Conquet, Bretagne",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Pau, Nouvelle-Aquitaine",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Paris, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Courbevoie, Île-de-France",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Pau, Nouvelle-Aquitaine",CDI ,Premier emploi,1
442395448,TotalEnergies,Activité du commerce d'électricité,PARIS,19,8,500,999,Data Scientist ,"Courbevoie, Île-de-France",CDD,Premier emploi,2
